distance_window,near_pair_count,connected_near_pair_count,fraction_connected,fraction_ci_low,fraction_ci_high,mean_synapses_per_connected_pair
0.0-0.5 um,36524440,11446028,0.31337997242394405,0.3132295538547606,0.3135304302500975,4.511984157298934
0.5-1.0 um,15481622,914365,0.05906131799368309,0.05894399709860444,0.05917885771720496,1.7575399320840146
1.0-1.5 um,13422444,314131,0.023403412970096953,0.02332266995590023,0.023484428794956873,1.6683708389175216
1.5-2.0 um,12095402,139234,0.011511316449010954,0.011451354826453784,0.011571588367584856,1.663631009667179
