partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
super_class,ascending | descending,2,200-300,250.0,7866,2467,11350.0,11350.0,0.313628273582507,0.30346798409884534,0.32397051479038264
super_class,ascending | descending,3,300-400,350.0,7345,1954,7104.0,7104.0,0.2660313138189244,0.2560498473871079,0.2762573940698313
super_class,ascending | descending,4,400-500,450.0,7415,1718,6668.0,6668.0,0.23169251517194875,0.22222955268611805,0.2414333458451028
super_class,ascending | descending,5,500-600,550.0,7238,1497,4783.0,4783.0,0.2068250898038132,0.1976506893952378,0.2163105328441439
super_class,ascending | descending,6,600-700,650.0,7384,1364,4167.0,4167.0,0.1847237269772481,0.17603680594556692,0.19373852870697894
super_class,ascending | descending,7,700-800,750.0,7170,1107,3432.0,3432.0,0.15439330543933055,0.14621493757614173,0.1629418188261742
super_class,ascending | descending,8,800-900,850.0,7375,1043,2772.0,2772.0,0.14142372881355933,0.13365738909964056,0.14956343515548373
super_class,ascending | descending,9,900-1000,950.0,7201,873,2564.0,2564.0,0.12123316206082489,0.1138955375781263,0.12897470123461877
super_class,ascending | descending,10,1000-1100,1050.0,7076,794,2074.0,2074.0,0.11221028829847371,0.10506552419350443,0.11977589033757774
super_class,ascending | descending,11,1100-1200,1150.0,7111,766,2086.0,2086.0,0.10772043313176768,0.1007251403095238,0.11513934218296064
super_class,ascending | descending,12,1200-1300,1250.0,7017,621,1474.0,1474.0,0.08849935870029928,0.0820770051678642,0.09537203455979465
super_class,ascending | descending,13,1300-1400,1350.0,6871,586,1366.0,1366.0,0.08528598457284238,0.0789111906749246,0.09212425543629925
super_class,ascending | descending,14,1400-1500,1450.0,6985,538,1168.0,1168.0,0.07702219040801718,0.07099926050607057,0.0835101219930263
super_class,ascending | descending,15,1500-1600,1550.0,6902,503,1156.0,1156.0,0.07287742683280209,0.0669796858305108,0.07925036960545519
super_class,ascending | descending,16,1600-1700,1650.0,6756,418,1068.0,1068.0,0.061870929544108944,0.056371210274231476,0.06786862398460677
super_class,ascending | descending,17,1700-1800,1750.0,6859,371,808.0,808.0,0.05408951742236478,0.04898168129786203,0.059696566499668376
super_class,ascending | descending,18,1800-1900,1850.0,6624,325,660.0,660.0,0.04906400966183575,0.0441185297028973,0.054532228637495156
super_class,ascending | descending,19,1900-2000,1950.0,6818,311,672.0,672.0,0.0456145497213259,0.040912525858480236,0.05082833191810608
super_class,ascending | sensory,0,0-100,50.0,14184,10669,49764.0,49764.0,0.7521855611957134,0.7450126100375389,0.759221945273538
super_class,ascending | sensory,1,100-200,150.0,5838,3078,6991.0,6991.0,0.527235354573484,0.5144146031698693,0.5400202859924796
super_class,ascending | sensory,2,200-300,250.0,3982,1603,3178.0,3178.0,0.4025615268709191,0.3874300977153573,0.41788078066977463
super_class,ascending | sensory,3,300-400,350.0,3848,1237,2200.0,2200.0,0.32146569646569645,0.3068932565070509,0.33639425562740444
super_class,ascending | sensory,4,400-500,450.0,3841,1000,1783.0,1783.0,0.26034886748242647,0.24671523773063062,0.27446139539776676
super_class,ascending | sensory,5,500-600,550.0,3554,726,1243.0,1243.0,0.20427687113111986,0.19134423977431872,0.21784811999796563
super_class,ascending | sensory,6,600-700,650.0,3617,650,1103.0,1103.0,0.179706939452585,0.167536149328063,0.19255737147107937
super_class,ascending | sensory,7,700-800,750.0,3415,501,887.0,887.0,0.146705710102489,0.13523591750529554,0.15896946480899468
super_class,ascending | sensory,8,800-900,850.0,3408,404,692.0,692.0,0.11854460093896714,0.10811877782483441,0.12982943172862202
super_class,ascending | sensory,9,900-1000,950.0,3411,345,605.0,605.0,0.1011433597185576,0.0914690038093529,0.11171512045573746
super_class,ascending | sensory,10,1000-1100,1050.0,3166,274,446.0,446.0,0.08654453569172457,0.07724463992678887,0.09684658280181688
super_class,ascending | sensory,11,1100-1200,1150.0,3326,257,424.0,424.0,0.0772699939867709,0.06867501241504792,0.08684037306154652
super_class,ascending | sensory,12,1200-1300,1250.0,3292,230,416.0,416.0,0.06986634264884568,0.06165006081690423,0.07908534345737885
super_class,ascending | sensory,13,1300-1400,1350.0,3205,224,372.0,372.0,0.06989079563182528,0.0615688696685248,0.07924256832829
super_class,ascending | sensory,14,1400-1500,1450.0,3309,177,292.0,292.0,0.05349048050770626,0.046328529575187176,0.06168798410297965
super_class,ascending | sensory,15,1500-1600,1550.0,3128,141,256.0,256.0,0.045076726342710996,0.038346997329851515,0.05292249727038624
super_class,ascending | sensory,16,1600-1700,1650.0,3187,142,241.0,241.0,0.044556008785691874,0.03792425771099216,0.052284419523252246
super_class,ascending | sensory,17,1700-1800,1750.0,3312,125,227.0,227.0,0.03774154589371981,0.03176846199951573,0.04478573769446241
super_class,ascending | sensory,18,1800-1900,1850.0,3270,108,194.0,194.0,0.03302752293577982,0.02742930048174858,0.03972165758537356
super_class,ascending | sensory,19,1900-2000,1950.0,3142,100,143.0,143.0,0.031826861871419476,0.026237750694902532,0.0385594088315021
super_class,ascending | visual_centrifugal,0,0-100,50.0,2157,1128,12832.0,12832.0,0.5229485396383866,0.5018477825707199,0.5439676996932274
super_class,ascending | visual_centrifugal,1,100-200,150.0,1164,477,2956.0,2956.0,0.4097938144329897,0.3818825196405317,0.4382985734118136
super_class,ascending | visual_centrifugal,2,200-300,250.0,841,283,1212.0,1212.0,0.33650416171224734,0.30537621303784407,0.36911898227450796
super_class,ascending | visual_centrifugal,5,500-600,550.0,836,194,697.0,697.0,0.23205741626794257,0.20470586484439302,0.26186021142522736
super_class,ascending | visual_centrifugal,6,600-700,650.0,930,172,519.0,519.0,0.18494623655913978,0.1613065237820711,0.2111780603272682
super_class,ascending | visual_centrifugal,7,700-800,750.0,910,159,434.0,434.0,0.17472527472527472,0.15143417011814417,0.20075115390299905
super_class,ascending | visual_centrifugal,8,800-900,850.0,843,144,389.0,389.0,0.1708185053380783,0.1469196450826635,0.1977039539469543
super_class,ascending | visual_centrifugal,9,900-1000,950.0,871,123,276.0,276.0,0.14121699196326062,0.1196619087519682,0.16592304742752761
super_class,ascending | visual_centrifugal,10,1000-1100,1050.0,917,117,295.0,295.0,0.12758996728462377,0.10753841560562964,0.15074878601514852
super_class,ascending | visual_centrifugal,11,1100-1200,1150.0,906,100,249.0,249.0,0.11037527593818984,0.09159240073094255,0.132448355374296
super_class,ascending | visual_centrifugal,12,1200-1300,1250.0,899,102,237.0,237.0,0.11345939933259176,0.0943507931997061,0.13585747367678697
super_class,ascending | visual_centrifugal,13,1300-1400,1350.0,929,89,202.0,202.0,0.09580193756727665,0.07850593537283791,0.11642705217831763
super_class,ascending | visual_centrifugal,14,1400-1500,1450.0,910,72,160.0,160.0,0.07912087912087912,0.06329977558960441,0.09848055920802352
super_class,ascending | visual_centrifugal,15,1500-1600,1550.0,899,74,174.0,174.0,0.08231368186874305,0.06607499871541278,0.10210688390940204
super_class,ascending | visual_centrifugal,16,1600-1700,1650.0,914,60,135.0,135.0,0.06564551422319474,0.05133817428686016,0.08358881093586235
super_class,ascending | visual_centrifugal,17,1700-1800,1750.0,917,61,149.0,149.0,0.06652126499454744,0.0521332040986133,0.08452613014519147
super_class,ascending | visual_centrifugal,18,1800-1900,1850.0,929,60,128.0,128.0,0.06458557588805167,0.05050381633086917,0.08225355641065521
super_class,ascending | visual_centrifugal,19,1900-2000,1950.0,883,53,128.0,128.0,0.06002265005662514,0.04617953536371068,0.07767753223438122
super_class,ascending | visual_projection,0,0-100,50.0,1777,1207,11045.0,11045.0,0.6792346651660102,0.6571651856908515,0.7005308609423809
super_class,ascending | visual_projection,1,100-200,150.0,862,397,1524.0,1524.0,0.4605568445475638,0.42753037505472635,0.49393331992135225
super_class,ascending | visual_projection,2,200-300,250.0,672,251,747.0,747.0,0.37351190476190477,0.3377532541177227,0.41070851562240585
super_class,ascending | visual_projection,3,300-400,350.0,585,196,590.0,590.0,0.335042735042735,0.29797926062956037,0.37425857039324784
super_class,ascending | visual_projection,4,400-500,450.0,645,196,563.0,563.0,0.30387596899224806,0.2696283074313081,0.34044601579334327
super_class,ascending | visual_projection,5,500-600,550.0,628,145,337.0,337.0,0.23089171974522293,0.19962852543820542,0.2654272733569356
super_class,ascending | visual_projection,6,600-700,650.0,674,140,298.0,298.0,0.20771513353115728,0.1787869006440583,0.23995635736784307
super_class,ascending | visual_projection,7,700-800,750.0,678,87,184.0,184.0,0.12831858407079647,0.1052217868622091,0.15560360132179143
super_class,ascending | visual_projection,8,800-900,850.0,758,107,204.0,204.0,0.14116094986807387,0.11817924552833292,0.16776155896435951
super_class,ascending | visual_projection,9,900-1000,950.0,782,97,187.0,187.0,0.12404092071611253,0.10275871433858437,0.14899889177440329
super_class,ascending | visual_projection,10,1000-1100,1050.0,768,67,113.0,113.0,0.08723958333333333,0.06928027074716453,0.10930766750337806
super_class,ascending | visual_projection,11,1100-1200,1150.0,783,73,151.0,151.0,0.09323116219667944,0.07480415185757476,0.11563011089619933
super_class,ascending | visual_projection,12,1200-1300,1250.0,797,65,105.0,105.0,0.08155583437892096,0.06450154923852683,0.1026246340166887
super_class,ascending | visual_projection,13,1300-1400,1350.0,852,69,130.0,130.0,0.08098591549295775,0.06449236705685607,0.10124110511836887
super_class,ascending | visual_projection,14,1400-1500,1450.0,877,51,83.0,83.0,0.05815279361459521,0.04450465891617733,0.07565497023848566
super_class,ascending | visual_projection,15,1500-1600,1550.0,903,50,70.0,70.0,0.05537098560354374,0.04225039002410799,0.07225869292929862
super_class,ascending | visual_projection,16,1600-1700,1650.0,886,43,95.0,95.0,0.04853273137697517,0.03622857458110335,0.06473501264610651
super_class,ascending | visual_projection,17,1700-1800,1750.0,914,24,33.0,33.0,0.0262582056892779,0.01770781743879016,0.03877425964291979
super_class,ascending | visual_projection,18,1800-1900,1850.0,918,44,79.0,79.0,0.04793028322440087,0.035896012572187344,0.06373238345593721
super_class,ascending | visual_projection,19,1900-2000,1950.0,926,34,55.0,55.0,0.0367170626349892,0.026392277600257148,0.05086991415369319
super_class,central | central,0,0-100,50.0,5696424,2351709,15015649.0,15015649.0,0.4128395287991203,0.41243526888878024,0.41324390626933305
super_class,central | central,1,100-200,150.0,2176913,488995,1272804.0,1272804.0,0.22462771824138125,0.2240738055872842,0.22518260279310656
super_class,central | central,2,200-300,250.0,1384865,237285,531622.0,531622.0,0.17134161091514336,0.17071493928183906,0.17197010593277046
super_class,central | central,3,300-400,350.0,1235648,172435,352109.0,352109.0,0.13955026026829648,0.138940387070046,0.14016237471877277
super_class,central | central,4,400-500,450.0,1198555,136118,259028.0,259028.0,0.11356842197479465,0.1130016206761533,0.11413770044101196
super_class,central | central,5,500-600,550.0,1122636,103497,187014.0,187014.0,0.09219105747544173,0.09165729875761845,0.09272760718424099
super_class,central | central,6,600-700,650.0,1118146,85344,148504.0,148504.0,0.07632634736429769,0.0758356450417533,0.07681996089720658
super_class,central | central,7,700-800,750.0,1067806,66911,112686.0,112686.0,0.06266213151078005,0.062204017794283334,0.06312339199946437
super_class,central | central,8,800-900,850.0,1035051,53233,87848.0,87848.0,0.05143031599409111,0.051006458943140494,0.05185750277256692
super_class,central | central,9,900-1000,950.0,1006720,43559,70126.0,70126.0,0.04326823744437381,0.04287252823169224,0.04366743238107726
super_class,central | central,10,1000-1100,1050.0,961460,34557,54603.0,54603.0,0.03594221288457138,0.035571976267915154,0.03631615785575505
super_class,central | central,11,1100-1200,1150.0,941970,29327,46081.0,46081.0,0.031133687909381404,0.03078485600849597,0.0314863441135436
super_class,central | central,12,1200-1300,1250.0,906367,23708,37139.0,37139.0,0.026157174742681498,0.02583059557217814,0.026487770623595124
super_class,central | central,13,1300-1400,1350.0,882453,19747,30685.0,30685.0,0.022377395736656796,0.022070865266254347,0.022688084676709068
super_class,central | central,14,1400-1500,1450.0,863950,16720,25587.0,25587.0,0.019352971815498582,0.01906460460855252,0.01964561344900441
super_class,central | central,15,1500-1600,1550.0,834612,14015,21678.0,21678.0,0.016792233996156296,0.016518779060092657,0.0170701371846047
super_class,central | central,16,1600-1700,1650.0,825266,12052,18369.0,18369.0,0.014603776236995103,0.014347206898820505,0.01486486457741409
super_class,central | central,17,1700-1800,1750.0,803355,10292,15961.0,15961.0,0.012811272725009492,0.012567669314243343,0.013059535533588386
super_class,central | central,18,1800-1900,1850.0,788904,8842,13355.0,13355.0,0.011207954326508675,0.010978017295184711,0.011442651720003338
super_class,central | central,19,1900-2000,1950.0,780627,7886,11917.0,11917.0,0.01010213584721,0.009882696080759774,0.010326397333568379
super_class,central | descending,0,0-100,50.0,466974,166615,1560602.0,1560602.0,0.35679716643753184,0.35542432540640784,0.35817236358903853
super_class,central | descending,1,100-200,150.0,153165,28173,97111.0,97111.0,0.18393888943296444,0.18200649988814893,0.1858871331208246
super_class,central | descending,2,200-300,250.0,92871,13500,40648.0,40648.0,0.1453629227638337,0.14311068413320913,0.14764449923821535
super_class,central | descending,3,300-400,350.0,81494,10020,28157.0,28157.0,0.12295383709230127,0.12071696191531864,0.12522625825457603
super_class,central | descending,4,400-500,450.0,77389,7967,20293.0,20293.0,0.10294744731163344,0.10082603705568165,0.10510827509134772
super_class,central | descending,5,500-600,550.0,72901,6316,15201.0,15201.0,0.08663804337389062,0.0846177183879638,0.08870193120853158
super_class,central | descending,6,600-700,650.0,71810,5359,12391.0,12391.0,0.07462748920763125,0.07272808136338142,0.07657240669183495
super_class,central | descending,7,700-800,750.0,69108,4358,9944.0,9944.0,0.06306071655958789,0.06127260411971405,0.06489740377080061
super_class,central | descending,8,800-900,850.0,67237,3620,7675.0,7675.0,0.053839403899638594,0.0521587309026407,0.055571056941061736
super_class,central | descending,9,900-1000,950.0,65565,2993,6560.0,6560.0,0.04564935560131168,0.04407811480512382,0.04727383611907857
super_class,central | descending,10,1000-1100,1050.0,62975,2587,5225.0,5225.0,0.04107979356887654,0.03955741851953358,0.042658155289940894
super_class,central | descending,11,1100-1200,1150.0,62230,2223,4570.0,4570.0,0.035722320424232686,0.03429250952005324,0.037209449632666
super_class,central | descending,12,1200-1300,1250.0,59734,1934,3822.0,3822.0,0.03237687079385275,0.030987233614282593,0.03382665145919487
super_class,central | descending,13,1300-1400,1350.0,58145,1649,3240.0,3240.0,0.028360134147390144,0.027041683541069634,0.02974090247694659
super_class,central | descending,14,1400-1500,1450.0,57747,1451,2906.0,2906.0,0.02512684641626405,0.02388154682450955,0.026435323362885264
super_class,central | descending,15,1500-1600,1550.0,55554,1238,2406.0,2406.0,0.022284623969471146,0.021089794284144692,0.023545517826324334
super_class,central | descending,16,1600-1700,1650.0,54868,1096,2249.0,2249.0,0.019975213239046438,0.018837637899802095,0.02118000204031611
super_class,central | descending,17,1700-1800,1750.0,53737,943,1799.0,1799.0,0.017548430318030408,0.016472240182480957,0.0186935954042844
super_class,central | descending,18,1800-1900,1850.0,52725,826,1618.0,1618.0,0.01566619250829777,0.014640943025573297,0.016762015009446386
super_class,central | descending,19,1900-2000,1950.0,52280,747,1502.0,1502.0,0.014288446824789594,0.013306230831676844,0.015342038961872521
super_class,central | endocrine,0,0-100,50.0,8593,2553,14760.0,14760.0,0.2971022925637147,0.2875323441963423,0.30685357539533664
super_class,central | endocrine,1,100-200,150.0,3443,627,1563.0,1563.0,0.18210862619808307,0.16957382408517518,0.19535202571308652
super_class,central | endocrine,2,200-300,250.0,2251,296,585.0,585.0,0.13149711239449133,0.11816185465937215,0.146088015486717
super_class,central | endocrine,3,300-400,350.0,2122,257,480.0,480.0,0.12111215834118756,0.10791076080712386,0.13568292933423004
super_class,central | endocrine,4,400-500,450.0,2163,189,380.0,380.0,0.08737864077669903,0.07619746082570339,0.10002289602917702
super_class,central | endocrine,5,500-600,550.0,2022,157,275.0,275.0,0.07764589515331355,0.06676567996756592,0.0901279290885419
super_class,central | endocrine,6,600-700,650.0,2147,140,263.0,263.0,0.06520726595249185,0.055520825774934335,0.07644686538372653
super_class,central | endocrine,7,700-800,750.0,2021,99,168.0,168.0,0.048985650667986144,0.040401157196126546,0.05928150440071144
super_class,central | endocrine,8,800-900,850.0,2048,84,130.0,130.0,0.041015625,0.033250520692397915,0.05049941400041657
super_class,central | endocrine,9,900-1000,950.0,1983,66,121.0,121.0,0.03328290468986384,0.026246440954538597,0.0421241830549446
super_class,central | endocrine,10,1000-1100,1050.0,1875,51,76.0,76.0,0.0272,0.020748046032853216,0.03558538835565511
super_class,central | endocrine,11,1100-1200,1150.0,1896,54,80.0,80.0,0.028481012658227847,0.021893948098309978,0.03697495970958306
super_class,central | endocrine,12,1200-1300,1250.0,1857,45,65.0,65.0,0.024232633279483037,0.018159383216889553,0.03227027183811351
super_class,central | endocrine,13,1300-1400,1350.0,1894,32,49.0,49.0,0.01689545934530095,0.011993037466792346,0.023753676062935318
super_class,central | endocrine,14,1400-1500,1450.0,1898,28,40.0,40.0,0.014752370916754479,0.010226181742700496,0.02123889926089097
super_class,central | endocrine,15,1500-1600,1550.0,1769,23,28.0,28.0,0.013001695873374788,0.008679163878795314,0.01943479734594129
super_class,central | endocrine,16,1600-1700,1650.0,1845,20,33.0,33.0,0.01084010840108401,0.007028158901226182,0.01668485145076936
super_class,central | endocrine,17,1700-1800,1750.0,1730,10,11.0,11.0,0.005780346820809248,0.0031427670745090277,0.010607970017045356
super_class,central | endocrine,18,1800-1900,1850.0,1754,14,18.0,18.0,0.00798175598631699,0.00476046601248373,0.013353566560189482
super_class,central | endocrine,19,1900-2000,1950.0,1760,18,21.0,21.0,0.010227272727272727,0.00647892578468824,0.016109043565847546
super_class,central | motor,0,0-100,50.0,25798,9348,175870.0,175870.0,0.3623536708271959,0.3565088728416805,0.3682394567504212
super_class,central | motor,1,100-200,150.0,6102,848,3492.0,3492.0,0.13897082923631596,0.1305183148644693,0.14787763959330769
super_class,central | motor,2,200-300,250.0,3549,350,1182.0,1182.0,0.09861932938856016,0.08923973114580472,0.10886693367145031
super_class,central | motor,3,300-400,350.0,3004,268,976.0,976.0,0.08921438082556592,0.07953834995639507,0.09993971830358249
super_class,central | motor,4,400-500,450.0,2796,213,622.0,622.0,0.07618025751072961,0.06691795954472068,0.08660558264423746
super_class,central | motor,5,500-600,550.0,2668,173,443.0,443.0,0.06484257871064468,0.05610997233094878,0.07482653228818734
super_class,central | motor,6,600-700,650.0,2673,137,336.0,336.0,0.0512532734754957,0.04351875875424129,0.060275802717009004
super_class,central | motor,7,700-800,750.0,2406,104,234.0,234.0,0.043225270157938485,0.03580122676917229,0.052105629847461754
