partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance
side,right | right,35235592,5813227,5988787.938062526,24249721.0,24249721.0,0.16498167534690492,0.9706850635089739,-0.04292479870869356,-0.004982488674023876
side,left | left,34000292,5462670,5658493.133236169,21687703.0,21687703.0,0.16066538487375343,0.9653930598438006,-0.050811634950900506,-0.005759454455160823
side,left | right,7951633,1472387,1108888.6438539075,7748596.0,7748596.0,0.18516787683737415,1.3278042012250801,0.4090422611273777,0.045713673675091965
side,center | right,160597,31292,27428.784090791163,156200.0,156200.0,0.1948479734988823,1.1408453213391205,0.19009995395480841,0.024055342934231876
side,center | left,157811,31235,27022.867754438535,154923.0,154923.0,0.19792663375810304,1.1558728808443959,0.20897914393652414,0.026690992678339687
side,center | center,2864,731,753.0010307334496,3526.0,3526.0,0.25523743016759776,0.9707822036949673,-0.04275162096035792,-0.00768192413877431
side,left | na,2792,467,382.59212784962233,1554.0,1554.0,0.16726361031518625,1.2206210374081563,0.2872749848375384,0.030232045899132403
side,na | right,2702,494,368.41746764011504,1359.0,1359.0,0.18282753515914138,1.3408701904507931,0.4226724210783558,0.04647762115465765
