partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
post_neuropil,LOP_L | LOP_R,6906,2287,777.507372514654,18385.0,18385.0,0.33116130900666085,2.9414512078557764,1.5559160118130193,0.21857698052205995,enriched
post_neuropil,IPS_R | LOP_L,5316,1643,708.1965155146663,14048.0,14048.0,0.30906696764484576,2.3199775260204234,1.2135315956257975,0.1758471565999499,enriched
post_neuropil,LOP_L | PLP_R,2927,805,357.5343799873748,6678.0,6678.0,0.2750256235052955,2.251531726902532,1.1697864610629234,0.15287516911944832,enriched
post_neuropil,OCG | OCG,4033,1334,626.2496086945442,6896.0,6896.0,0.33077113811058767,2.1301410515541956,1.0903382100413608,0.17548980691927987,enriched
post_neuropil,AL_R | SAD,2909,807,388.8128548561524,7327.0,7327.0,0.2774149192162255,2.075548660289441,1.052532277487057,0.14375632352830786,enriched
post_neuropil,IPS_L | LOP_R,6077,1667,804.1398280690667,14609.0,14609.0,0.27431298337995724,2.0730225538049374,1.0512717060348535,0.1419878512310241,enriched
post_neuropil,MB_CA_L | MB_VL_L,7819,4795,2388.2939038933036,18511.0,18511.0,0.6132497761862131,2.007709349416074,1.0053988559499603,0.3078022887973777,enriched
post_neuropil,ME_L | PVLP_L,40610,10458,5239.575436024623,37091.0,37091.0,0.25752277764097514,1.9959632469639004,0.9970164632803254,0.128500974242191,enriched
post_neuropil,WED_L | WED_R,5932,1769,898.324057513863,11629.0,11629.0,0.29821308159136883,1.969222559725003,0.9772311170999114,0.14677611977176958,enriched
post_neuropil,LA_L | LA_L,24919,6733,3485.06292819649,70230.0,70230.0,0.2701954332035796,1.9319593759772677,0.9499649227652817,0.13033978377156027,enriched
post_neuropil,MB_CA_L | MB_VL_R,3523,2251,1184.508608138495,5259.0,5259.0,0.6389440817485098,1.9003660965685518,0.925988938494104,0.30272250691498864,enriched
post_neuropil,AMMC_L | AVLP_R,5516,1458,770.239984167248,11399.0,11399.0,0.26432197244379985,1.8929165324705,0.9201692446160163,0.12468455689498767,enriched
post_neuropil,MB_ML_L | MB_VL_L,5755,2543,1344.4499294488764,13096.0,13096.0,0.441876629018245,1.8914798865305746,0.9192626298799174,0.20826239279776257,enriched
post_neuropil,LO_L | PVLP_R,14133,4295,2280.100206366666,15302.0,15302.0,0.3038986768555862,1.8836891413838657,0.9134125105371029,0.1425670270737518,enriched
post_neuropil,MB_ML_R | MB_VL_R,12251,5287,2811.417015771242,23029.0,23029.0,0.43155660762386744,1.8805463473904613,0.9110317394629155,0.2020719112095958,enriched
post_neuropil,LO_R | PVLP_L,17287,5399,2873.296140272221,23717.0,23717.0,0.31231561288829757,1.8790266427213764,0.9098680938783182,0.14610423206616413,enriched
post_neuropil,MB_CA_R | MB_PED_L,6210,3124,1697.7183181199055,6953.0,6953.0,0.5030595813204509,1.8401168006831625,0.879603400512381,0.22967498903061104,enriched
post_neuropil,AL_L | LH_L,158532,39848,21716.408952449812,243825.0,243825.0,0.25135619307143037,1.8349258428154982,0.8757066448254235,0.11437180536137932,enriched
post_neuropil,MB_CA_R | MB_VL_R,18594,8150,4474.718222581463,33827.0,33827.0,0.4383134344412176,1.821343734868353,0.864930532097623,0.1976595556318456,enriched
post_neuropil,MB_ML_L | MB_VL_R,2981,1336,742.1638645903786,4523.0,4523.0,0.44817175444481716,1.8001415371218277,0.8476785489130597,0.19920702294854795,enriched
post_neuropil,MB_CA_R | MB_PED_R,7453,3119,1737.3267747665202,11185.0,11185.0,0.4184891989802764,1.7952869001395337,0.8440305268420758,0.18538484170582045,enriched
post_neuropil,MB_CA_L | MB_PED_L,15069,6795,3793.4219224945446,22072.0,22072.0,0.45092574158869203,1.7912586943483537,0.8408897167363348,0.19918893606114907,enriched
post_neuropil,EB | EB,52407,26456,14976.335639149936,274232.0,274232.0,0.5048180586562864,1.7665202381576468,0.8208893782311144,0.21904830196061717,enriched
post_neuropil,AL_R | LH_R,162500,42457,24241.66691014761,269188.0,269188.0,0.26127384615384613,1.7514059638459687,0.8085007630780154,0.1120943574760147,enriched
post_neuropil,ME_L | ME_R,251280,40103,23140.12901911847,141860.0,141860.0,0.15959487424387137,1.7330499742186716,0.7933000712266033,0.06750585395129548,enriched
post_neuropil,LO_L | LO_R,60493,16868,9850.052735277883,76722.0,76722.0,0.2788421800869522,1.7124781413187158,0.7760551057421283,0.11601255128233212,enriched
post_neuropil,EB | PB,8255,3121,1886.9941864463456,21591.0,21591.0,0.37807389460932767,1.6539531612853444,0.7257672649052666,0.1494858647551368,enriched
post_neuropil,LO_L | PVLP_L,192381,57687,35540.44986732876,412052.0,412052.0,0.2998580940945312,1.6231364604371505,0.6987765034128589,0.11511817764057386,enriched
post_neuropil,LOP_R | PVLP_R,12239,3147,1949.4655016312397,27093.0,27093.0,0.2571288503962742,1.6142886331492956,0.6907577775928891,0.09784577975069535,enriched
post_neuropil,LO_R | PVLP_R,136354,42231,26439.405631466372,332583.0,332583.0,0.309715886589319,1.5972749383495806,0.6756024627989539,0.11581320950271813,enriched
post_neuropil,MB_ML_L | MB_ML_R,42782,12358,7820.397839286155,35302.0,35302.0,0.28885980085082513,1.5802265119964838,0.6600975046848822,0.10606334815375262,enriched
post_neuropil,AOTU_R | EB,2737,829,532.3075833651891,15059.0,15059.0,0.3028863719400804,1.5573702609291316,0.6386273649778679,0.1084005906594121,enriched
post_neuropil,AL_L | AL_R,257610,63106,40779.914003820624,287936.0,287936.0,0.24496719847831994,1.5474775153789602,0.6299121894413513,0.08666622412243072,enriched
post_neuropil,AOTU_L | AOTU_R,3675,1236,813.7532606761663,10295.0,10295.0,0.3363265306122449,1.5188879230701688,0.6027127427119758,0.11489707192485271,enriched
post_neuropil,AMMC_L | WED_L,5776,1546,1040.898167986283,14140.0,14140.0,0.2676592797783934,1.4852557604082297,0.570485059553949,0.08744837811871833,enriched
post_neuropil,PB | PB,4261,1848,1254.0279588704225,12942.0,12942.0,0.43370100915278104,1.473651354364223,0.5592104199887272,0.13939733422426132,enriched
post_neuropil,AOTU_L | EB,2450,689,468.0049847781898,9002.0,9002.0,0.28122448979591835,1.4722065414037213,0.5574861538515572,0.09020204702931028,enriched
post_neuropil,AL_R | AL_R,223783,65748,45152.35346752791,533785.0,533785.0,0.29380247829370415,1.4561367226911839,0.5421408180815457,0.09203400853716365,enriched
post_neuropil,MB_ML_L | MB_ML_L,117967,31217,21557.81735955796,135742.0,135742.0,0.26462485271304687,1.4480593967069446,0.5341104269663662,0.08188037875373655,enriched
post_neuropil,AVLP_R | LO_R,208479,40173,27755.56034140091,210382.0,210382.0,0.1926956671895011,1.4473856591566236,0.5334413492758022,0.05956206456573128,enriched
