partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance
flow,intrinsic | intrinsic,72131799,11906258,12038589.273574287,48640142.0,48640142.0,0.16506254058629538,0.9890077424715564,-0.01594627901900988,-0.0018345760872300865
flow,afferent | intrinsic,2271556,426365,263327.53674517444,2301519.0,2301519.0,0.18769733169686328,1.6191432361006706,0.6952295705516501,0.07177347300917325
flow,efferent | intrinsic,2146760,312635,366243.4024905809,2219630.0,2219630.0,0.14563109057370177,0.8536262984506332,-0.22832313387730802,-0.024971772573823305
flow,afferent | afferent,429667,62545,60820.99690270057,179143.0,179143.0,0.14556621755917956,1.0283455251491098,0.04032476608476995,0.0040124168188374445
flow,afferent | efferent,322683,67261,39974.43100081964,365763.0,365763.0,0.20844296104845933,1.682600560308685,0.7506854092652817,0.0845615325231895
flow,efferent | efferent,211888,37440,43177.70860367931,297386.0,297386.0,0.17669712300838178,0.8671141014835979,-0.20570368788858484,-0.027078969095367892
