partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
pre_neuropil,MB_CA_R | MB_ML_R,19166,6568,3315.2147947937697,105648.0,105648.0,0.34269018052801836,1.9811687647854435,0.9862440334948387,0.16971643562591204,enriched
pre_neuropil,LA_L | LA_L,25255,6794,3469.999412601319,60758.0,60758.0,0.26901603642843,1.9579254034820748,0.9692241037365054,0.1316175247435629,enriched
pre_neuropil,AL_R | MB_CA_R,4132,1972,1048.7664376851224,22057.0,22057.0,0.47725072604065827,1.8803042595000221,0.9106442357463349,0.22343503444212914,enriched
pre_neuropil,AL_L | MB_CA_L,4397,2001,1065.7730457225023,22958.0,22958.0,0.45508301114396177,1.877510421220584,0.9085046923856229,0.2126966009273363,enriched
pre_neuropil,PB | PB,3568,1713,913.211380447732,9685.0,9685.0,0.48010089686098656,1.8757979112789256,0.9071357623294344,0.22415600323774326,enriched
pre_neuropil,MB_ML_R | MB_PED_L,4254,2418,1321.4515212956705,5330.0,5330.0,0.5684062059238364,1.8298060587415073,0.8714432665877407,0.2577688008237728,enriched
pre_neuropil,MB_CA_R | MB_VL_R,3282,1001,547.3169863232356,18539.0,18539.0,0.30499695307739183,1.8289218588381748,0.870396515229527,0.13823370313125058,enriched
pre_neuropil,AL_L | MB_CA_R,2470,799,441.4099568430546,6046.0,6046.0,0.32348178137651823,1.8101086928677692,0.8553455963281174,0.14477329682467424,enriched
pre_neuropil,MB_VL_R | SIP_R,2458,1134,630.7627342020467,5232.0,5232.0,0.4613506916192026,1.7978233946153765,0.8457441179619128,0.204734444995099,enriched
pre_neuropil,EB | EB,51972,25944,14571.830380211673,277054.0,277054.0,0.49919187254675595,1.7804214929122124,0.8321971236759551,0.21881339220711782,enriched
pre_neuropil,AOTU_L | AOTU_R,6918,2262,1291.3923399727391,18014.0,18014.0,0.3269731136166522,1.7515978142225546,0.8084319443459578,0.14030177219243437,enriched
pre_neuropil,PVLP_L | PVLP_R,35970,13296,7661.306396629329,65321.0,65321.0,0.3696413678065054,1.735474253561992,0.7952900627690721,0.15664980826718572,enriched
pre_neuropil,LA_R | LA_R,34958,9402,5458.826546112623,56761.0,56761.0,0.26895131300417646,1.7223481861125294,0.7843214077226404,0.11279745562925159,enriched
pre_neuropil,WED_L | WED_L,2748,1120,652.7127427320047,16905.0,16905.0,0.40756914119359533,1.71591563436024,0.7785178087807101,0.17004630904948884,enriched
pre_neuropil,MB_ML_R | MB_VL_L,2085,778,473.4715492614374,1624.0,1624.0,0.37314148681055154,1.643182153634348,0.7158965771666856,0.1460568109057854,enriched
pre_neuropil,AL_R | AL_R,119501,37128,23452.625628526675,282597.0,282597.0,0.3106919607367302,1.5831063262630705,0.6627468257596668,0.11443732162470041,enriched
pre_neuropil,VES_R | VES_R,14549,5242,3354.7204702660624,57625.0,57625.0,0.36029967695374254,1.562574302825373,0.6438473878370623,0.12971884869983763,enriched
pre_neuropil,VES_L | VES_L,15643,5356,3448.8918673653275,56800.0,56800.0,0.34238956721856423,1.5529625763800905,0.6349485994994624,0.1219144750134036,enriched
pre_neuropil,AMMC_R | AMMC_R,12042,3170,2043.4630800754746,13461.0,13461.0,0.2632453080883574,1.5512881201078108,0.6333412396056628,0.09355064938752079,enriched
pre_neuropil,EB | GA_L,2043,679,438.21860890955963,7108.0,7108.0,0.3323543808125306,1.549454966528209,0.6311776492579245,0.11785677488518863,enriched
pre_neuropil,AVLP_R | WED_L,12770,3395,2201.568975614207,24855.0,24855.0,0.2658574784651527,1.5420820503944659,0.6247643730390645,0.09345583589552021,enriched
pre_neuropil,MB_VL_R | SLP_R,4013,1060,691.5449507653174,4673.0,4673.0,0.2641415399950162,1.5327998546253887,0.615806966708808,0.09181536238093263,enriched
pre_neuropil,AL_L | AL_L,157154,46761,30536.674139242255,308924.0,308924.0,0.2975489010779236,1.531306251190862,0.614754645264996,0.10323838948265869,enriched
pre_neuropil,CRE_R | MB_CA_R,2469,707,466.6385126660406,10282.0,10282.0,0.286350749291211,1.5150914054665245,0.5988797566666726,0.09735175671687299,enriched
pre_neuropil,EB | PB,7498,3077,2035.6190980612746,18319.0,18319.0,0.4103761002934116,1.5115794516422731,0.5959369057297627,0.13888782367814423,enriched
pre_neuropil,MB_ML_L | MB_VL_R,17381,5584,3708.8310709804045,10813.0,10813.0,0.32127035268396525,1.5055956696684778,0.5902690776634335,0.10788613595417959,enriched
pre_neuropil,AL_R | LH_R,55761,17499,11711.310708675868,196909.0,196909.0,0.31382148813686983,1.4941965451430255,0.5793495601454283,0.1037945749058326,enriched
pre_neuropil,AOTU_L | SIP_R,2562,699,469.19321444288306,2944.0,2944.0,0.2728337236533958,1.4897913662924303,0.574605305949566,0.0896981988903657,enriched
pre_neuropil,AL_L | AL_R,201106,49212,33048.65159061882,180606.0,180606.0,0.2447067715533102,1.4890773944304978,0.5744115708016495,0.08037228332014548,enriched
pre_neuropil,AL_L | LH_L,67703,20299,13945.805178994326,251652.0,251652.0,0.2998242323087603,1.4555631417090986,0.5415612358616403,0.09383919207429027,enriched
pre_neuropil,VES_L | WED_L,2013,521,360.3066458742703,3887.0,3887.0,0.25881768504719327,1.4459905360219305,0.5314413402006692,0.07982779638635354,enriched
pre_neuropil,AOTU_R | SIP_L,2196,624,439.07329967383185,3341.0,3341.0,0.28415300546448086,1.421175007597916,0.5065978142950032,0.08421070142357384,enriched
pre_neuropil,SIP_L | SIP_L,5705,1543,1087.8739082220313,7639.0,7639.0,0.270464504820333,1.418362907997127,0.5040312068186708,0.07977670320385077,enriched
pre_neuropil,LH_L | LH_R,11512,3144,2223.553316121681,21818.0,21818.0,0.2731063238359972,1.4139530530726203,0.49963926210356746,0.07995541034384288,enriched
pre_neuropil,LAL_R | LAL_R,49750,14509,10354.10079465896,154283.0,154283.0,0.2916381909547739,1.4012805445630099,0.48672587093531583,0.08351556191640282,enriched
pre_neuropil,LAL_L | LAL_L,52224,14606,10513.975366923998,136034.0,136034.0,0.2796798406862745,1.3891986132998881,0.47423365514052507,0.07835525109290752,enriched
pre_neuropil,WED_R | WED_R,15966,4456,3238.4829444584607,32848.0,32848.0,0.2790930727796568,1.3759529003000919,0.46037023455359843,0.07625686180267689,enriched
pre_neuropil,PRW | PRW,78967,22859,17161.38210696439,171063.0,171063.0,0.28947535046285156,1.3320022744976594,0.4135860693993801,0.0721518848764118,enriched
pre_neuropil,LH_R | LH_R,158854,43637,33008.77563732956,239281.0,239281.0,0.2746987800118348,1.3219817808283383,0.402696971681639,0.06690561372499551,enriched
pre_neuropil,AOTU_R | LAL_L,9458,2732,2080.4084449629745,18999.0,18999.0,0.28885599492493125,1.3132036675849112,0.3930080045882657,0.06889316504937888,enriched
pre_neuropil,AOTU_R | AOTU_R,46927,12317,9707.848468152777,77972.0,77972.0,0.26247149828456967,1.2687672289495158,0.34341167351469354,0.0556002201685005,enriched
pre_neuropil,AOTU_L | LAL_R,8823,2373,1892.1411537147042,15520.0,15520.0,0.2689561373682421,1.2541347643865048,0.32661514893800914,0.05450060594869045,enriched
pre_neuropil,GNG | GNG,1416135,296738,238656.20573203565,2228934.0,2228934.0,0.20954075706059097,1.2433701402811157,0.3142552462547938,0.04101430602870796,enriched
pre_neuropil,AOTU_L | AOTU_L,43350,11415,9213.606119576456,64566.0,64566.0,0.26332179930795846,1.2389285858168138,0.30907793234695163,0.050781865753714975,enriched
pre_neuropil,AOTU_L | LAL_L,10091,2810,2270.758228312117,22352.0,22352.0,0.27846595976612826,1.2374721205298498,0.3073350738497715,0.05343789234841771,enriched
pre_neuropil,FB | NO,8728,2215,1812.5719862304336,43123.0,43123.0,0.2537809349220898,1.222020431092774,0.2891961198245685,0.046107700936018146,enriched
pre_neuropil,AVLP_R | PVLP_R,256765,55036,45429.053098237746,315226.0,315226.0,0.21434385527622535,1.2114714317506856,0.27675761266143656,0.037415328809464896,enriched
pre_neuropil,AVLP_L | PVLP_L,283152,62463,51834.28139363234,348352.0,348352.0,0.22059883031022207,1.2050519139187559,0.26909293143436214,0.03753714826795383,enriched
pre_neuropil,LAL_L | LAL_R,55155,14189,11880.138763144289,149566.0,149566.0,0.2572568216843441,1.1943463189183012,0.25621134878661794,0.04186132239789161,enriched
pre_neuropil,AOTU_R | LAL_R,10833,2776,2331.993106932198,20912.0,20912.0,0.25625403858580265,1.1903980298003134,0.2513945783507565,0.040986512791267624,enriched
pre_neuropil,IB_L | MB_ML_L,2239,8,146.71943288879217,14.0,14.0,0.003573023671281822,0.05452583780134769,-4.114361467486282,-0.06195597717230557,depleted
