partition,selected_pair_count,near_pair_count,connected_near_pair_count,median_fraction_connected,median_log2_oe,max_log2_oe,min_log2_oe
flow,6,77514353,12812504,0.17087983179733857,0.012189243532880036,0.7506854092652817,-0.22832313387730802
side,8,77514283,12812503,0.18399770599825777,0.19953954894566628,0.4226724210783558,-0.050811634950900506
nt,21,77498792,12811761,0.15572148438296918,-0.002099623986607634,0.24742156597133896,-0.9807146729506953
super_class,32,77464215,12805154,0.1652506397634233,0.26695076897376435,1.0582909779808034,-1.1479690466072903
post_neuropil,145,59918001,10241532,0.16874872004915012,-0.05850458577055682,1.5559160118130193,-2.4273564632534526
pre_neuropil,148,54670420,9602722,0.1658626582008066,-0.04256300508181557,0.9862440334948387,-4.114361467486282
cell_class,74,28581347,4899104,0.18472340643644344,0.10757664811780751,1.5280471919919638,-2.6394245727813757
cell_type,220,4948340,569600,0.11401401705648305,-0.6022537095434612,2.1373976543470943,-5.287004250538464
