partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
pre_neuropil,AL_L | AL_R,18,1800-1900,1850.0,5749,89,114.0,114.0,0.015480953209253783,0.012597879953313209,0.019011125238138613
pre_neuropil,AL_L | AL_R,19,1900-2000,1950.0,5642,78,116.0,116.0,0.013824884792626729,0.011091993930401578,0.017219391922152272
pre_neuropil,AL_L | LH_L,0,0-100,50.0,24013,15918,241876.0,241876.0,0.6628909340773748,0.6568861549634852,0.6688436029410678
pre_neuropil,AL_L | LH_L,1,100-200,150.0,4499,1400,3713.0,3713.0,0.31118026228050677,0.2978174410719445,0.3248652666653207
pre_neuropil,AL_L | LH_L,2,200-300,250.0,2902,686,1446.0,1446.0,0.23638869745003446,0.22128536161305537,0.25218903561492845
pre_neuropil,AL_L | LH_L,3,300-400,350.0,2568,451,965.0,965.0,0.17562305295950156,0.16139383418139425,0.19082132557027948
pre_neuropil,AL_L | LH_L,4,400-500,450.0,2618,367,791.0,791.0,0.14018334606569902,0.12741074893663118,0.15401037124088068
pre_neuropil,AL_L | LH_L,5,500-600,550.0,2364,275,490.0,490.0,0.11632825719120135,0.10402152549378192,0.12987993142799864
pre_neuropil,AL_L | LH_L,6,600-700,650.0,2419,211,416.0,416.0,0.08722612649855312,0.07662590847584332,0.09913531338859881
pre_neuropil,AL_L | LH_L,7,700-800,750.0,2379,185,382.0,382.0,0.07776376628835645,0.06767024948161439,0.08921873550169292
pre_neuropil,AL_L | LH_L,8,800-900,850.0,2278,132,250.0,250.0,0.05794556628621598,0.049074413915394986,0.06830516230058777
pre_neuropil,AL_L | LH_L,9,900-1000,950.0,2296,111,236.0,236.0,0.048344947735191636,0.04030055500457043,0.05789820790153581
pre_neuropil,AL_L | LH_L,10,1000-1100,1050.0,2125,92,183.0,183.0,0.04329411764705882,0.03543361371972624,0.052802918298438015
pre_neuropil,AL_L | LH_L,11,1100-1200,1150.0,2132,83,182.0,182.0,0.038930581613508444,0.03151465725378904,0.04800509739468301
pre_neuropil,AL_L | LH_L,12,1200-1300,1250.0,2079,90,159.0,159.0,0.04329004329004329,0.035351887970276025,0.05291291334730855
pre_neuropil,AL_L | LH_L,13,1300-1400,1350.0,1962,65,111.0,111.0,0.033129459734964326,0.02607761590610852,0.042005997748216437
pre_neuropil,AL_L | LH_L,14,1400-1500,1450.0,1943,55,99.0,99.0,0.028306742151312403,0.02181178241544359,0.03666323681570494
pre_neuropil,AL_L | LH_L,15,1500-1600,1550.0,1845,42,108.0,108.0,0.022764227642276424,0.016885112085666044,0.03062658388655786
pre_neuropil,AL_L | LH_L,16,1600-1700,1650.0,1911,42,81.0,81.0,0.02197802197802198,0.016300515713745637,0.029573565985753687
pre_neuropil,AL_L | LH_L,17,1700-1800,1750.0,1769,42,59.0,59.0,0.023742227247032222,0.017612464782145475,0.03193601151714714
pre_neuropil,AL_L | LH_L,18,1800-1900,1850.0,1790,22,38.0,38.0,0.012290502793296089,0.00813033322217233,0.018539580107967857
pre_neuropil,AL_L | LH_L,19,1900-2000,1950.0,1811,30,67.0,67.0,0.016565433462175594,0.011627921828604351,0.02354958346992969
pre_neuropil,AL_L | LO_L,0,0-100,50.0,182,35,106.0,106.0,0.19230769230769232,0.14164842984347015,0.2556877962759779
pre_neuropil,AL_L | LO_L,4,400-500,450.0,132,5,5.0,5.0,0.03787878787878788,0.01628593894182534,0.08560920952521273
pre_neuropil,AL_L | LO_L,11,1100-1200,1150.0,141,1,1.0,1.0,0.0070921985815602835,0.0012530139445820175,0.03907794069828302
pre_neuropil,AL_L | LO_L,12,1200-1300,1250.0,162,2,2.0,2.0,0.012345679012345678,0.003392114427184602,0.043891558668106324
pre_neuropil,AL_L | LO_L,14,1400-1500,1450.0,126,1,1.0,1.0,0.007936507936507936,0.0014023289659406447,0.04358787448195278
