partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance
pre_neuropil,ME_R | ME_R,6526173,1187179,1121948.5436990208,5848333.0,5848333.0,0.18191043970179768,1.0581403279743267,0.08153093148970286,0.009995207957401565
pre_neuropil,ME_L | ME_L,6102093,1079276,1027912.7688107637,4940543.0,4940543.0,0.17686980516357256,1.0499684727612253,0.0703459755668409,0.00841731372977047
pre_neuropil,LO_R | ME_R,5066028,812925,860467.95995151,2496200.0,2496200.0,0.16046595083959267,0.9447475534659197,-0.08199916839638924,-0.009384661899126881
pre_neuropil,LO_L | ME_L,5054118,782474,840801.9971524692,2297608.0,2297608.0,0.15481909998935522,0.9306281415243925,-0.10372321712161911,-0.01154068764371335
pre_neuropil,LO_L | LO_L,2488666,522152,473576.6461349264,1688471.0,1688471.0,0.20981200369997421,1.1025712611918663,0.1408717611073955,0.0195186312124944
pre_neuropil,LO_R | LO_R,2291966,499942,446561.3517271105,1699189.0,1699189.0,0.2181280176058458,1.1195370984668416,0.16290216356445314,0.023290331651032125
pre_neuropil,GNG | GNG,1416135,296738,238656.20573203565,2228934.0,2228934.0,0.20954075706059097,1.2433701402811157,0.3142552462547938,0.04101430602870796
pre_neuropil,MB_ML_L | MB_ML_L,1336708,146764,183455.0436433207,401909.0,401909.0,0.10979510858018356,0.7999998096827655,-0.32192745509829185,-0.02744880979489964
pre_neuropil,LOP_R | LO_R,1204091,168735,173622.62583309287,559761.0,559761.0,0.14013475725671898,0.9718491423013528,-0.04119558925490222,-0.004059183095873043
pre_neuropil,LOP_L | LO_L,1138408,141042,152777.94502774993,470925.0,470925.0,0.12389406961300342,0.9231829893665721,-0.1153110609845334,-0.010309085167839585
pre_neuropil,LOP_R | LOP_R,1114930,242644,221182.88706721007,1089139.0,1089139.0,0.21763160019014646,1.0970288127501864,0.13360112923536158,0.01924884336486589
pre_neuropil,LOP_R | ME_R,1111378,192833,175238.5205606123,713123.0,713123.0,0.17350802337278587,1.1004030357201176,0.13803164919969987,0.015831228834282944
pre_neuropil,LOP_L | ME_L,999703,167670,152637.8768604432,601905.0,601905.0,0.16771981278439696,1.0984822604241322,0.1355111479353446,0.015036589006491716
pre_neuropil,LOP_L | LOP_L,946768,189306,180421.20314394755,674492.0,674492.0,0.1999497236915485,1.049244748960929,0.06935105549985708,0.009384344270246191
pre_neuropil,MB_ML_R | MB_ML_R,864203,86432,107502.96975198403,164269.0,164269.0,0.1000135384857493,0.8039963937685065,-0.31473742870206045,-0.024381967838556482
pre_neuropil,AVLP_R | AVLP_R,845056,216440,188006.7296955738,1474644.0,1474644.0,0.25612503786731294,1.151235385831487,0.2031823383441729,0.03364661076239468
