partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
cell_type,T2 | cL21,2776,2706,614.6587769519031,15627.0,15627.0,0.9747838616714697,4.402442625840425,2.1373976543470943,0.7533649938934067,enriched
cell_type,Lawf2 | OA-AL2b2,1160,1150,267.0507340709677,15189.0,15189.0,0.9913793103448276,4.306297842620392,2.104376591225313,0.7611631602836485,enriched
cell_type,Mi13 | cM05,660,659,169.11618034493532,9348.0,9348.0,0.9984848484848485,3.8967294475069174,1.9590988587386882,0.7422482115985829,enriched
cell_type,Dm10 | aMe17c,965,954,275.34006316197826,19301.0,19301.0,0.9886010362694301,3.464806352712924,1.790913187740585,0.7032745459461365,enriched
cell_type,Li31 | Tm4,1480,1449,580.0615852585248,11876.0,11876.0,0.9790540540540541,2.498010619603783,1.320034313763589,0.5871205505009968,enriched
cell_type,CT1 | Tm1,1522,1505,609.5248808694544,13087.0,13087.0,0.9888304862023654,2.4691362850573033,1.3033027163810909,0.5883542175627764,enriched
cell_type,BM_InOm | CB0109,1113,1108,453.10306979598977,7172.0,7172.0,0.995507637017071,2.4453597290763853,1.2891064612223504,0.5884069453764692,enriched
cell_type,KCapbp-ap1 | MBON12,560,548,225.72812673897508,2432.0,2432.0,0.9785714285714285,2.4276992323322206,1.2777133111760706,0.5754854879661159,enriched
cell_type,Mi15 | Sm39,920,883,367.60099594324214,8709.0,8709.0,0.9597826086956521,2.4020609567019124,1.2631284816579265,0.5602163087573454,enriched
cell_type,LT62 | T2a,1761,1696,710.8080447829312,15908.0,15908.0,0.9630891538898353,2.38601688943733,1.2540150446472378,0.5594502868921458,enriched
cell_type,Li29 | Y3,595,591,247.5822175068205,6045.0,6045.0,0.9932773109243698,2.387085817194116,1.2535598417755327,0.577172743686016,enriched
cell_type,LT42 | Y3,598,591,247.85736259799089,3077.0,3077.0,0.9882943143812709,2.3844359263943473,1.251960652206008,0.5738171194013529,enriched
cell_type,CB1088 | LC18,752,737,311.7844061308938,5428.0,5428.0,0.9800531914893617,2.363812896051612,1.2397825189380824,0.5654462684429604,enriched
cell_type,LC17 | PVLP018,552,548,233.4271435896423,4289.0,4289.0,0.9927536231884058,2.3476275790932313,1.229432347009387,0.5698783630622423,enriched
cell_type,CB0744 | LC11,889,855,365.6723708125711,6232.0,6232.0,0.9617547806524185,2.3381586038345743,1.2242449166528067,0.5504247797383902,enriched
cell_type,LPi13 | T5d,1457,1426,610.3552553426797,15137.0,15137.0,0.9787234042553191,2.3363442642914287,1.2235772737728414,0.5598110807531368,enriched
cell_type,Am1 | TmY5a,1170,1153,495.30018196092607,7428.0,7428.0,0.9854700854700855,2.3278812364558337,1.2181872980078714,0.5621365966145931,enriched
cell_type,LC18 | PVLP108,564,544,234.6417247703417,2374.0,2374.0,0.9645390070921985,2.318428235781365,1.211401487925803,0.5485075801944296,enriched
cell_type,LTe26 | Tm25,718,715,310.07712951852085,13353.0,13353.0,0.9958217270194986,2.3058778991866706,1.2040001714348465,0.563959429639943,enriched
cell_type,LPi12 | T5b,1509,1489,646.5125776912743,15316.0,15316.0,0.9867461895294898,2.303126112901448,1.2029624605128921,0.55830843095343,enriched
cell_type,CB2049 | LC15,525,509,221.49842850263963,4068.0,4068.0,0.9695238095238096,2.2979847010243426,1.1985326824259472,0.5476220409473531,enriched
cell_type,H2 | T5b,1403,1350,588.1388681015546,13016.0,13016.0,0.962223806129722,2.2953762677811897,1.198038927478025,0.5430229022797187,enriched
cell_type,LPi13 | T4d,1561,1524,664.7200253045572,17473.0,17473.0,0.9762972453555413,2.2926945811535364,1.1964326461036412,0.5504676327325065,enriched
cell_type,CB1340 | LC12,1322,1307,570.6970867183155,8721.0,8721.0,0.9886535552193646,2.2901816575158174,1.19475042016441,0.5569613564914406,enriched
cell_type,KCapbp-ap1 | PPL103,560,549,240.20468042937685,2736.0,2736.0,0.9803571428571428,2.285550802002015,1.1908552863226232,0.55142021351897,enriched
