,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
sensory,10296.3310546875,210.14447021484375,568.4295654296875,150.39114379882812,55.28713607788086,1.528377890586853,0.47511711716651917,0.5764639377593994,2.5988352298736572,6.227234840393066,3.5448882579803467,1.4939395189285278
optic,0.0,5715.47607421875,6912.2578125,9140.13671875,3185.518310546875,387.3691101074219,1237.837158203125,5851.2138671875,10036.564453125,6841.92822265625,1771.363525390625,1104.2069091796875
visual_projection,0.0,91.96085357666016,143.61233520507812,547.9031982421875,1119.89013671875,182.95938110351562,110.5842514038086,110.31564331054688,290.63360595703125,789.048828125,556.818359375,335.9844055175781
central,0.0,0.0,132.23512268066406,484.97802734375,4908.51708984375,5444.69580078125,4498.70556640625,3955.110595703125,4563.1845703125,7213.30810546875,8171.53857421875,6080.154296875
descending,0.0,0.0,0.0,16.220754623413086,366.1442565917969,210.7154998779297,355.31298828125,735.5822143554688,1078.737548828125,1586.2760009765625,1082.1563720703125,664.1100463867188
other,0.0,8.802391052246094,9.006668090820312,14.675821304321289,144.81299209594727,142.25233805179596,214.4042545258999,361.5742623806,399.8737599849701,510.71942043304443,371.46499943733215,346.9849728345871
